		AQUCO	AMBTC	ARALY	ARATH	BOEST	BRADI	BRAST	BRARA	CAPGR	CAPRU	CARPA	CHLRE	CITCL	CITSI	COCSU	CUCSA	EUCGR	EUTSA	FRAVE	SOYBN	GOSRA	KALMA	LINUS	MALDO	MANES	MEDTR	MICPU	MIMGU	MUSAC	ORYSJ	OSTLU	PANHA	PANVI	PHAVU	PHYPA	POPTR	PRUPE	RICCO	SALPU	SELML	SETIT	SETVI	SOLLC	SOLTU	SORBI	SPIPO	THECC	WHEAT	VITVI	VOLCA	MAIZE	KLEFL	TREBU	SPIPR	CLOPE	PICAB
AQUCO	0	0.51056	0.49219	0.50013	0.49553	0.56360	0.56400	0.50978	0.49651	0.50141	0.43941	0.97292	0.42399	0.42165	0.88758	0.45055	0.44419	0.49687	0.44775	0.48472	0.44524	0.46353	0.47864	0.42713	0.43154	0.46661	0.97329	0.47274	0.47432	0.55461	0.95240	0.55671	0.47783	0.46369	0.74560	0.44052	0.41922	0.42654	0.43717	0.64108	0.55463	0.55686	0.46277	0.45811	0.55932	0.46889	0.41824	0.48290	0.38011	0.96671	0.56339	NA	NA	NA	NA	NA
AMBTC	0.51056	0	0.57261	0.57728	0.57504	0.59045	0.58956	0.58743	0.57794	0.57991	0.53329	0.85386	0.52217	0.51951	0.83494	0.53640	0.52277	0.57534	0.54408	0.58583	0.54523	0.54906	0.54949	0.52538	0.53255	0.55551	0.88592	0.55671	0.51580	0.59409	0.93397	0.58713	0.50848	0.55110	0.73846	0.53889	0.52204	0.52468	0.53132	0.64305	0.58360	0.58676	0.55062	0.54929	0.58791	0.51260	0.51682	0.53475	0.48816	0.91572	0.59297	NA	NA	NA	NA	NA
ARALY	0.49219	0.57261	0	0.06341	0.07997	0.60627	0.60572	0.15927	0.09822	0.09982	0.41570	0.86171	0.42359	0.42355	0.85093	0.45929	0.45275	0.12799	0.46154	0.49227	0.43795	0.49637	0.46719	0.44539	0.43392	0.47550	0.90856	0.49485	0.54004	0.59594	0.94986	0.59788	0.51300	0.47332	0.75350	0.44279	0.43364	0.43327	0.44150	0.66329	0.59881	0.60204	0.48735	0.48480	0.60201	0.52898	0.41284	0.51607	0.43144	0.97109	0.59559	NA	NA	NA	NA	NA
ARATH	0.50013	0.57728	0.06341	0	0.08727	0.61416	0.61211	0.16555	0.10447	0.10626	0.41919	0.97069	0.43240	0.42714	0.90589	0.46462	0.45726	0.13509	0.47014	0.50070	0.44733	0.48331	0.48695	0.45198	0.44350	0.48200	0.97760	0.50282	0.54280	0.59920	0.96183	0.60477	0.51570	0.48167	0.76149	0.45312	0.43983	0.44005	0.45122	0.66994	0.60196	0.60553	0.49365	0.48888	0.60751	0.52862	0.42106	0.50962	0.43721	0.96937	0.61170	0.79089	0.90173	0.75145	0.26496	0.70197
BOEST	0.49553	0.57504	0.07997	0.08727	0	0.60956	0.60946	0.15614	0.07934	0.07922	0.41605	0.96132	0.42651	0.42322	0.89478	0.46216	0.45418	0.12360	0.46630	0.49608	0.44527	0.49912	0.48337	0.45055	0.43891	0.47912	0.96588	0.50014	0.53784	0.59688	0.94637	0.60303	0.51360	0.47546	0.75689	0.45064	0.43695	0.43773	0.44569	0.66873	0.60058	0.60094	0.49271	0.48738	0.60385	0.52757	0.41778	0.51017	0.43083	0.96253	0.60564	NA	NA	NA	NA	NA
BRADI	0.56360	0.59045	0.60627	0.61416	0.60956	0	0.06487	0.62635	0.60996	0.61412	0.57338	0.96761	0.56874	0.56283	0.89832	0.57743	0.55363	0.60757	0.58812	0.61181	0.59079	0.58056	0.60194	0.57669	0.58296	0.59593	0.97256	0.59305	0.46920	0.24175	0.99308	0.25016	0.23903	0.58765	0.76716	0.58647	0.57092	0.56874	0.58166	0.67193	0.24907	0.24946	0.59094	0.58456	0.26072	0.51038	0.56771	0.17055	0.53763	0.96320	0.27303	NA	NA	NA	NA	NA
BRAST	0.56400	0.58956	0.60572	0.61211	0.60946	0.06487	0	0.62487	0.60890	0.61055	0.57305	0.96355	0.56803	0.56129	0.89614	0.57672	0.55258	0.60661	0.58725	0.60834	0.58985	0.58004	0.59727	0.57564	0.58297	0.59326	0.97041	0.59370	0.46937	0.24020	0.99513	0.24825	0.23543	0.58628	0.76780	0.58731	0.57094	0.56765	0.58286	0.67132	0.24777	0.24873	0.59087	0.58503	0.25915	0.51039	0.56783	0.16938	0.53588	0.96323	0.27232	NA	NA	NA	NA	NA
BRARA	0.50978	0.58743	0.15927	0.16555	0.15614	0.62635	0.62487	0	0.16986	0.17004	0.42978	1.01352	0.43940	0.43591	0.94577	0.47125	0.46195	0.13717	0.47896	0.51425	0.45661	0.48721	0.50083	0.46501	0.45100	0.49448	1.01817	0.51343	0.55534	0.61084	0.98616	0.61573	0.54170	0.49166	0.77671	0.46415	0.44779	0.44893	0.46235	0.69788	0.61287	0.61441	0.50406	0.50129	0.61718	0.54017	0.43208	0.51351	0.44611	1.00950	0.62188	NA	NA	NA	NA	NA
CAPGR	0.49651	0.57794	0.09822	0.10447	0.07934	0.60996	0.60890	0.16986	0	0.01410	0.41769	0.85739	0.43065	0.42832	0.84437	0.46504	0.45742	0.13983	0.46869	0.50340	0.44679	0.48931	0.47723	0.45196	0.44398	0.48011	0.88948	0.50405	0.53786	0.59879	0.94209	0.60397	0.50907	0.47800	0.75639	0.45206	0.44199	0.43939	0.45038	0.66017	0.60247	0.60284	0.49293	0.48866	0.60567	0.53001	0.41988	0.50454	0.43671	0.95804	0.60014	NA	NA	NA	NA	NA
CAPRU	0.50141	0.57991	0.09982	0.10626	0.07922	0.61412	0.61055	0.17004	0.01410	0	0.42090	0.96222	0.43273	0.43036	0.89150	0.46642	0.45961	0.14111	0.47149	0.50499	0.44859	0.49693	0.48792	0.45142	0.44424	0.48159	0.97526	0.50346	0.54249	0.59911	0.94245	0.60647	0.51953	0.47979	0.75463	0.45507	0.44282	0.44264	0.45305	0.66726	0.60491	0.60537	0.49453	0.48958	0.60712	0.53074	0.42286	0.51243	0.43687	0.96104	0.61156	NA	NA	NA	NA	NA
CARPA	0.43941	0.53329	0.41570	0.41919	0.41605	0.57338	0.57305	0.42978	0.41769	0.42090	0	0.90229	0.34079	0.34322	0.84711	0.39976	0.38711	0.41567	0.39453	0.44012	0.36023	0.44310	0.42940	0.38026	0.35765	0.41936	0.91895	0.44870	0.49631	0.56331	0.90775	0.56662	0.49280	0.40938	0.72735	0.36985	0.35644	0.35296	0.36729	0.63973	0.56487	0.56717	0.43679	0.43656	0.57085	0.49311	0.32364	0.52637	0.34610	0.89598	0.57967	NA	NA	NA	NA	NA
CHLRE	0.97292	0.85386	0.86171	0.97069	0.96132	0.96761	0.96355	1.01352	0.85739	0.96222	0.90229	0	0.94453	0.83814	0.77730	0.84559	0.83676	0.97821	0.95057	1.03166	0.98618	0.81097	0.96860	0.84493	0.88193	0.97305	0.92555	0.97196	0.84417	0.95296	0.83105	0.96537	0.77626	0.96185	0.92361	1.00074	0.84911	0.94227	0.97963	0.86460	0.96477	0.96315	0.96699	0.89912	0.96066	0.81842	0.94808	0.69127	0.93450	0.46894	0.95880	NA	NA	NA	NA	NA
CITCL	0.42399	0.52217	0.42359	0.43240	0.42651	0.56874	0.56803	0.43940	0.43065	0.43273	0.34079	0.94453	0	0.01568	0.87443	0.38319	0.37264	0.42526	0.37179	0.41407	0.34242	0.42727	0.40586	0.35217	0.33511	0.39908	0.94517	0.43192	0.48011	0.55577	0.91320	0.55975	0.47081	0.39108	0.74283	0.34068	0.33675	0.33109	0.34124	0.63796	0.55878	0.56009	0.42072	0.41765	0.56228	0.47849	0.30975	0.48588	0.32418	0.93926	0.56790	NA	NA	NA	NA	NA
CITSI	0.42165	0.51951	0.42355	0.42714	0.42322	0.56283	0.56129	0.43591	0.42832	0.43036	0.34322	0.83814	0.01568	0	0.81511	0.38424	0.37285	0.42315	0.37163	0.41172	0.34340	0.43117	0.39472	0.35136	0.33308	0.39935	0.86486	0.42880	0.47881	0.55091	0.90670	0.55544	0.47242	0.39049	0.73108	0.33937	0.33510	0.33009	0.34045	0.62608	0.55222	0.55326	0.41843	0.41835	0.55800	0.47710	0.30731	0.49555	0.32701	0.92801	0.55759	NA	NA	NA	NA	NA
COCSU	0.88758	0.83494	0.85093	0.90589	0.89478	0.89832	0.89614	0.94577	0.84437	0.89150	0.84711	0.77730	0.87443	0.81511	0	0.82091	0.82362	0.90583	0.87854	0.93528	0.91436	0.90905	0.91321	0.82917	0.86321	0.89956	0.85393	0.90139	0.83015	0.88992	0.85077	0.89236	0.78877	0.89295	0.88931	0.92795	0.84096	0.87530	0.91110	0.80682	0.90117	0.89992	0.89590	0.83666	0.89811	0.80107	0.86885	0.70687	0.87048	0.76989	0.89882	NA	NA	NA	NA	NA
